name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
1,2,2,49,20,287,57.51,56,10,42,10
1,3,2,48,20,287,47.78,46,25,51,15
1,4,2,56,20,287,45.81,45,31,69,29
1,5,2,65,20,287,47.88,52,42,79,38
1,6,2,73,20,287,52.11,54,51,92,49
1,7,2,82,20,287,56.52,61,60,103,60
1,8,2,93,20,287,61.26,64,65,117,75
1,9,2,103,20,287,65.51,77,75,126,85
1,10,2,114,20,356,71.15,79,78,141,102
1,11,2,122,20,356,72.69,89,85,147,115
1,12,2,132,20,448,79.42,91,89,161,131
1,13,2,142,20,448,85.83,102,98,170,142
1,14,2,152,20,448,92.24,103,103,184,157
1,15,2,161,20,457,96.67,113,112,193,168
1,16,2,169,20,474,101.09,118,120,203,180
1,17,2,179,20,561,107.37,128,127,213,193
1,18,2,191,20,672,117.12,132,132,228,208
1,19,2,203,20,890,129.24,144,140,241,220
1,20,2,213,20,890,134.96,149,146,254,234
1,21,2,225,20,890,143.14,154,151,268,249
1,22,2,239,20,890,155.50,158,154,286,266
1,23,2,249,20,890,161.13,175,166,294,274
1,24,2,263,20,890,171.51,182,171,311,289
1,25,2,276,20,890,180.22,196,179,323,301
1,26,2,291,20,939,193.04,198,181,343,319
1,27,2,306,20,939,206.35,207,186,361,334
1,28,2,320,20,939,217.56,215,192,379,348
1,29,2,337,20,967,231.43,237,201,393,359
1,30,2,354,20,982,245.49,241,204,415,376
1,31,2,370,20,1026,257.85,255,210,432,390
1,32,2,386,20,1035,269.95,260,214,452,406
1,33,2,402,20,1092,281.84,274,220,469,420
1,34,2,419,20,1152,295.89,278,223,491,437
1,35,2,437,20,1181,309.85,301,231,506,449
1,36,2,457,20,2412,332.32,307,234,532,466
1,37,2,475,20,2412,345.95,322,239,551,481
1,38,2,493,20,2412,358.70,327,242,573,498
1,39,2,512,20,2412,372.98,349,249,591,511
1,40,2,531,20,2412,388.64,353,251,616,529
1,41,2,550,20,2412,402.77,377,258,633,542
1,42,2,583,20,2602,449.22,377,258,677,562
1,43,2,602,20,2602,461.76,390,263,698,577
1,44,2,624,20,2602,479.32,391,264,727,596
1,45,2,649,20,2602,506.65,414,269,753,611
1,46,2,671,20,2602,522.58,418,271,780,629
1,47,2,692,20,2602,538.21,428,274,805,646
1,48,2,713,20,2602,552.92,439,279,829,661
1,49,2,737,20,2602,571.20,463,284,852,676
1,50,2,759,20,2602,588.17,467,286,880,694
1,51,2,783,20,2602,606.56,478,289,907,711
1,52,2,806,20,2602,623.29,486,292,934,728
1,53,2,831,20,2602,643.90,497,294,963,746
1,54,2,859,20,3494,673.84,508,298,996,762
1,55,2,887,20,3553,700.11,521,300,1028,780
1,56,2,911,20,3553,716.19,527,302,1056,798
1,57,2,940,20,4121,745.23,545,304,1087,816
1,58,2,965,20,4121,762.97,550,306,1117,834
1,59,2,988,20,4121,779.15,595,315,1135,845
1,60,2,1016,20,4121,800.13,595,315,1169,865
1,61,2,1042,20,4121,819.19,608,318,1198,882
1,62,2,1067,20,4121,837.77,613,320,1229,900
1,63,2,1094,20,4121,858.30,630,323,1258,917
1,64,2,1122,20,4121,879.57,634,324,1291,936
1,65,2,1148,20,4121,898.85,648,327,1320,953
1,66,2,1177,20,4121,921.78,651,328,1354,972
1,67,2,1204,20,4121,942.00,655,329,1387,991
1,68,2,1236,20,5710,973.25,662,331,1424,1009
1,69,2,1265,20,5710,997.35,707,337,1449,1023
1,70,2,1295,20,5710,1021.05,711,338,1485,1042
1,71,2,1327,20,5710,1047.13,736,341,1517,1059
