name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
2,3,3,242,108,958,224.68,237,15,258,5
2,4,3,221,108,958,159.86,221,32,221,8
2,5,3,252,108,958,143.10,260,50,213,10
2,6,3,261,108,958,128.47,274,63,213,17
2,7,3,278,108,958,122.52,294,80,216,20
2,8,3,289,108,958,116.43,306,96,222,24
2,9,3,310,108,958,125.92,330,112,229,28
2,10,3,326,108,958,129.65,349,127,238,33
2,11,3,344,108,958,136.57,369,143,246,37
2,12,3,356,108,958,138.76,383,156,259,44
2,13,3,375,108,1837,170.88,405,173,265,47
2,14,3,385,108,1837,168.35,415,187,279,53
2,15,3,398,108,1837,169.31,429,204,286,56
2,16,3,411,108,1837,171.09,442,219,298,61
2,17,3,426,108,1837,180.51,459,239,298,61
2,18,3,437,108,1837,181.56,470,255,308,65
2,19,3,454,108,1837,189.42,488,273,313,67
2,20,3,468,108,1837,193.79,503,291,319,69
2,21,3,480,108,1837,196.34,516,310,322,70
2,22,3,494,108,1837,201.07,530,327,331,73
2,23,3,508,108,1837,206.21,544,346,335,74
2,24,3,519,108,1837,208.98,556,364,342,76
2,25,3,532,108,1837,213.47,569,382,349,78
2,26,3,545,108,1837,217.97,582,400,356,80
2,27,3,557,108,1837,221.83,595,419,360,81
2,28,3,568,108,1837,225.05,606,436,371,84
2,29,3,579,108,1837,228.91,617,454,378,86
2,30,3,591,108,1837,232.89,629,472,386,88
2,31,3,603,108,1837,237.78,642,492,386,88
2,32,3,615,108,1837,243.84,654,509,398,91
2,33,3,629,108,1837,250.85,668,529,398,91
2,34,3,641,108,1837,257.21,681,547,406,93
2,35,3,659,108,4593,304.29,700,566,411,94
2,36,3,675,108,4593,317.35,717,585,416,95
2,37,3,688,108,4593,322.84,731,604,421,96
2,38,3,704,108,4593,334.29,747,624,421,96
2,39,3,716,108,4593,337.82,760,644,421,96
2,40,3,728,108,4593,340.88,772,663,427,97
2,41,3,741,108,4593,348.53,783,681,451,99
2,42,3,753,108,4593,352.66,796,701,451,99
2,43,3,766,108,4593,357.42,809,721,451,99
2,44,3,777,108,4593,361.00,821,741,451,99
2,45,3,789,108,4593,364.70,833,761,451,99
2,46,3,800,108,4593,368.05,845,781,451,99
2,47,3,812,108,4593,372.13,857,801,451,99
2,48,3,824,108,4593,376.70,869,821,451,99
2,49,3,836,108,4593,381.47,881,841,451,99
2,50,3,848,108,4593,385.92,893,861,451,99
2,51,3,859,108,4593,390.01,905,881,451,99
