name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
2,2,2,174,93,656,145.59,234,6,148,14
2,3,2,190,93,656,107.30,216,25,147,15
2,4,2,192,93,656,89.10,213,39,151,21
2,5,2,222,93,666,111.14,251,49,177,31
2,6,2,234,93,666,105.79,266,60,187,40
2,7,2,250,93,666,108.92,287,71,196,49
2,8,2,259,93,666,107.36,299,78,209,62
2,9,2,273,93,666,111.05,316,89,219,71
2,10,2,281,93,668,112.75,326,93,233,87
2,11,2,289,93,668,112.12,335,99,245,101
2,12,2,300,93,668,113.76,346,108,255,112
2,13,2,308,93,668,113.24,353,113,268,127
2,14,2,315,93,668,111.21,353,113,285,147
2,15,2,327,93,703,120.24,369,120,296,160
2,16,2,339,93,703,126.16,383,127,307,173
2,17,2,351,93,710,131.85,396,134,318,186
2,18,2,362,93,732,137.93,409,141,329,199
2,19,2,375,93,770,144.74,423,148,341,212
2,20,2,385,93,770,147.75,427,150,357,230
2,21,2,396,93,790,153.09,438,156,368,244
2,22,2,407,93,912,159.61,448,160,382,260
2,23,2,420,93,912,167.27,464,167,392,273
2,24,2,430,93,932,171.68,469,169,407,291
2,25,2,442,93,932,178.32,482,175,419,305
2,26,2,452,93,961,182.81,489,178,432,322
2,27,2,464,93,989,189.74,502,184,444,336
2,28,2,474,93,989,192.68,504,185,458,355
2,29,2,486,93,993,200.22,521,193,467,367
2,30,2,497,93,1111,205.87,527,195,482,385
2,31,2,509,93,1111,212.58,538,200,494,400
2,32,2,520,93,1140,218.35,544,202,508,418
2,33,2,531,93,1140,224.73,556,207,520,433
2,34,2,542,93,1140,229.74,563,210,532,450
2,35,2,553,93,1140,236.17,575,215,544,465
2,36,2,564,93,1140,241.74,580,217,557,483
2,37,2,576,93,1284,247.94,586,219,571,501
2,38,2,586,93,1284,252.99,588,220,586,520
2,39,2,598,93,1305,260.22,598,223,598,537
2,40,2,611,93,1338,268.93,613,228,610,552
2,41,2,623,93,1369,276.34,629,234,620,566
2,42,2,634,93,1369,282.35,637,237,632,583
2,43,2,649,93,4242,314.13,667,244,642,596
2,44,2,660,93,4242,319.01,673,246,655,614
2,45,2,671,93,4242,324.09,679,248,669,632
2,46,2,682,93,4242,328.73,685,250,682,650
2,47,2,693,93,4242,333.43,690,252,694,668
2,48,2,704,93,4242,338.04,693,253,708,687
2,49,2,717,93,4242,345.93,714,260,718,700
2,50,2,728,93,4242,352.04,723,263,730,717
2,51,2,740,93,4242,358.74,738,268,741,732
2,52,2,751,93,4242,363.93,746,271,753,749
2,53,2,763,93,4242,369.55,762,277,763,763
2,54,2,774,93,4242,374.59,768,279,776,781
2,55,2,786,93,4242,382.10,786,285,786,795
2,56,2,797,93,4242,386.87,786,285,801,815
2,57,2,809,93,4242,393.61,800,290,811,830
2,58,2,821,93,4242,401.30,810,293,824,847
2,59,2,832,93,4242,407.34,827,299,834,861
